,precipitation,temperature,soil_moisture,latent_heat,sensible_heat,shortwave
precipitation,2.96947154605,0,0,0,0,0
temperature,0,3.96033807256,0,0,0.0771866189984,0
soil_moisture,0,0,5.31748353944,0.112499124356,0.403429818462,0.1896702092
latent_heat,0,0,0,5.82155059112,0.170250538273,0.237483547541
sensible_heat,0,0,0,0.107704450762,5.32704489359,0.7797325673
shortwave,0,0,0,0.151939731174,0.508021958197,5.58856469286
