,precipitation,temperature,soil_moisture,latent_heat,sensible_heat,shortwave
precipitation,2.78237441061,0,0,0,0,0
temperature,0,3.54494666975,0,0,0,0
soil_moisture,0,0,5.6688559812,0.0959079280365,0.408497087965,0.0816242483319
latent_heat,0,0,0,6.12461022425,0.218309686304,0.0761365813159
sensible_heat,0,0,0,0.158940023801,5.17943184722,1.13370191963
shortwave,0,0,0,0.0963022450926,1.09898156226,5.51544825515
