,precipitation,temperature,soil_moisture,latent_heat,sensible_heat,shortwave
precipitation,2.35695584451,0,0,0,0,0
temperature,0,3.6329347782,0,0.0226825064358,0.0548871190632,0
soil_moisture,0,0.0115687880828,5.5119016748,0.242422419676,0.392828269851,0.32211617194
latent_heat,0,0,0,5.34306301318,0.260094759598,0.169319316484
sensible_heat,0,0,0,0.202732937029,4.81729798461,1.13072964687
shortwave,0,0,0,0.24543532487,1.13618832142,5.14431283559
